feature,value,recall,precision,accuracy,roc_auc,prauc,f1,f2,tp,tn,fp,fn,size
num_lab_procedures,12,0.37209302325581395,0.64,0.6129032258064516,0.6758139534883721,0.6284093724342703,0.47058823529411764,0.40609137055837563,0.17204301075268819,0.44086021505376344,0.0967741935483871,0.2903225806451613,93
num_lab_procedures,13,0.4782608695652174,0.44,0.6,0.629399585921325,0.5003240773779952,0.4583333333333333,0.4700854700854701,0.16923076923076924,0.4307692307692308,0.2153846153846154,0.18461538461538463,65
num_lab_procedures,14,0.5652173913043478,0.6842105263157895,0.7866666666666666,0.8177257525083612,0.6589425386492691,0.6190476190476191,0.5855855855855856,0.17333333333333334,0.6133333333333333,0.08,0.13333333333333333,75
num_lab_procedures,15,0.6153846153846154,0.7058823529411765,0.7282608695652174,0.7547169811320755,0.7196261093188452,0.6575342465753424,0.631578947368421,0.2608695652173913,0.4673913043478261,0.10869565217391304,0.16304347826086957,92
num_lab_procedures,16,0.4339622641509434,0.5897435897435898,0.5929203539823009,0.6808176100628931,0.6406969320038651,0.5,0.4581673306772908,0.20353982300884957,0.3893805309734513,0.1415929203539823,0.26548672566371684,113
num_lab_procedures,17,0.49230769230769234,0.6530612244897959,0.673202614379085,0.7181818181818181,0.6350174584265,0.5614035087719298,0.517799352750809,0.20915032679738563,0.46405228758169936,0.1111111111111111,0.21568627450980393,153
num_lab_procedures,18,0.42857142857142855,0.7105263157894737,0.6356589147286822,0.7486772486772486,0.7339160185928144,0.5346534653465347,0.46551724137931033,0.20930232558139536,0.4263565891472868,0.08527131782945736,0.27906976744186046,129
num_lab_procedures,19,0.4393939393939394,0.58,0.6813186813186813,0.7522204806687566,0.6116606754580065,0.5,0.46178343949044587,0.15934065934065933,0.521978021978022,0.11538461538461539,0.2032967032967033,182
num_lab_procedures,20,0.3617021276595745,0.4722222222222222,0.6201550387596899,0.6660612350804359,0.515357093524216,0.40963855421686746,0.3794642857142857,0.13178294573643412,0.4883720930232558,0.14728682170542637,0.23255813953488372,129
num_lab_procedures,21,0.44680851063829785,0.5833333333333334,0.672,0.7054009819967267,0.5841083843853402,0.5060240963855421,0.46875,0.168,0.504,0.12,0.208,125
num_lab_procedures,22,0.45,0.7105263157894737,0.6811594202898551,0.7452991452991452,0.6985238309288725,0.5510204081632653,0.4856115107913669,0.1956521739130435,0.4855072463768116,0.07971014492753623,0.2391304347826087,138
num_lab_procedures,23,0.5853658536585366,0.6153846153846154,0.6483516483516484,0.7095121951219512,0.6456901791912099,0.6,0.5911330049261084,0.26373626373626374,0.38461538461538464,0.16483516483516483,0.18681318681318682,182
num_lab_procedures,24,0.6181818181818182,0.6181818181818182,0.6934306569343066,0.7454545454545455,0.6702408480517712,0.6181818181818182,0.6181818181818182,0.24817518248175183,0.44525547445255476,0.15328467153284672,0.15328467153284672,137
num_lab_procedures,25,0.5425531914893617,0.5666666666666667,0.5773195876288659,0.6003191489361702,0.5925793198743041,0.5543478260869565,0.5472103004291845,0.26288659793814434,0.31443298969072164,0.20103092783505155,0.22164948453608246,194
